id;name;category;description;photo;photo_content_type;contact_name;address_line;zip_code;city;facebook_link;twitter_link;instagram_link;gofundme_name;support_link
1;Gasthaus Hahns Mühle;RESTAURANT;Preiswert und gut Speisen an der Müggelspree seit 23 Jahren;../fake-data/blob/restaurant-01.jfif;image/jpeg;Burkhard Kalisch;Hahns Mühle 12;12587;Berlin;https://www.facebook.com/pages/Gasthaus-Hahns-M%C3%BChle/109348209088465;;;;https://helfen-shop.berlin/dein-unternehmen/gasthaus-hahns-muehle/
2;Fundbureau, Uebel&Gefährlich, Waagenbau;CLUB;Im Fundbureau finden Gegensätze zueinander – Anspruch und Unterhaltung, etablierte Künstler*innen und Newcomer.;../fake-data/blob/restaurant-01.jfif;image/jpeg;Ute Daxl;Stresemannstrasse 114;22769;Hamburg;https://de-de.facebook.com/Fundbureau;;;;https://www.startnext.com/savetheravehh
3;Eck-Kneipe;BAR;Nette Urige Kreuzberger Eck Kneipe. Hier erlebt man noch das Kreuzberg aus alten Zeiten. Die Bedienung ist freundlich und super lieb. Regelmäßige Bingo Abende mit echt guter Stimmung;../fake-data/blob/bar-01.jfif;image/jpeg;Familie Mutlu;Mariannenplatz 9A;10997;Berlin;https://www.facebook.com/pages/Eck-Kneipe/211702428983165;;;;https://helfen-shop.berlin/dein-unternehmen/eck-kneipe/
4;Rummels Bucht;BAR;Biergarten mit Strandkörben am Wasser, wo in der warmen Jahreszeit Livekonzerte stattfinden und gegrillt wird.;../fake-data/blob/bar-02.jfif;image/jpeg;;Hauptstraße 1;10317;Berlin;https://de-de.facebook.com/rummelsbucht/;;;;
5;Gogärtchen;RESTAURANT;Das etablierte, in Grau und Weiß eingerichtete Restaurant mit Bar serviert gehobene Fischgerichte und Steaks.;../fake-data/blob/restaurant-02.jfif;image/jpeg;Patrick Schwaiger;Strönwai 12;25999;Kampen;https://www.facebook.com/Gogaertchen/;;;;https://www.startnext.com/die-gogaertner-aus-dem-gogaert
6;Kater&Goldfisch;RESTAURANT;Der Kater hat schon an der Schwanzflosse vom Goldfisch geknabbert.;../fake-data/blob/restaurant-01.jfif;image/jpeg;Caroline Mekas, Kaitas Malik;Exerzierstraße 1;13357;Berlin;https://de-de.facebook.com/pages/category/Breakfast---Brunch-Restaurant/Kater-Goldfisch-548710188622667/;;katerundgoldfisch;;https://helfen-shop.berlin/dein-unternehmen/katergoldfisch/
7;Café Paula;CAFE;Café im Florakiez (Pankow);../fake-data/blob/cafe-01.jfif;image/jpeg;Caroline und Gregor Borges;Florastraße 14;13187;Berlin;https://de-de.facebook.com/pages/category/Coffee-Shop/Caf%C3%A9-Paula-201274683237156/;;;;https://helfen-shop.berlin/dein-unternehmen/cafe-paula/
8;Banditen wie wir;BAR;;../fake-data/blob/bar-01.jfif;image/jpeg;Gabriel Gedenk;Kahrstraße 3;45128;Essen;https://de-de.facebook.com/pages/category/Bar/Banditen-Wie-Wir-408360745861671/;;banditen_wie_wir;;https://www.startnext.com/save-your-local-bar-banditen-wie-wir
9;(La)Manifattura del Gusto;RESTAURANT;Lieblingsitaliener in Oberschöneweide und Friedrichshagen;../fake-data/blob/restaurant-02.jfif;image/jpeg;Guiseppe Fiore;Rathenaustraße 23;12245;Berlin;https://de-de.facebook.com/pages/category/Italian-Restaurant/La-Manifattura-del-Gusto-449737985571347/;;;;https://helfen-shop.berlin/dein-unternehmen/lamanifattura-del-gusto/
10;Stiller Don;BAR;Kiezkneipe;../fake-data/blob/bar-02.jfif;image/jpeg;Laura & Silvia Edelhoff;Erich-Weinert-Straße 67;10439;Berlin;https://en-gb.facebook.com/STILLERDON.Berlin/;;;;https://helfen-shop.berlin/dein-unternehmen/stiller-don/
11;Briefkästchen;BAR;Bester Mexikaner der Stadt!;../fake-data/blob/bar-01.jfif;image/jpeg;Anja Besken;Landgrafenstraße 166;44139;Dortmund;;;;bierfkastchenborussiaverbindet;
